brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
Dell,XPS 9530 Laptop,15.60,Platinum Silver,1000.00,Core i9,64.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,3175.75
Dell,Precision 7770 Laptop,17.30,Silver,512.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Nvidia RTX A3000,,,,2815.30
Dell,XPS 9530 Laptop,15.60,Platinum Silver,2000.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,3111.99
Dell,Latitude 5320 Laptop,13.30,Black,512.00,Core i5,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,900.89
Dell,Latitude 5320 2-in-1,13.30,Black,512.00,Core i7,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1621.99
Dell,Vostro 3510 Laptop,15.60,Black,512.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,780.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Latitude 3520 Laptop,15.60,Black,512.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1620.99
Dell,Inspiron 3501 Laptop,15.60,Black,256.00,Core i5,8.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,594.99
Dell,Vostro 3510 Laptop,15.60,Black,1000.00,Core i5,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,790.99
Dell,Latitude 5420 Laptop,14.00,Black,256.00,Core i7,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1015.99
Dell,Alienware x14 R2 Laptop,14.00,Silver,1000.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,,2104.92
Dell,Inspiron 7420 2-in-1,14.00,"Grey, Gray, Platinum Silver",128.00,Core i7,4.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,777.02
Dell,Alienware m18 Ryzen Edition Laptop,18.00,Black,1000.00,AMD Ryzen 7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,2954.63
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Inspiron 3511 Laptop,15.60,Black,1000.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,683.99
Dell,Inspiron 3511 Laptop,15.60,Black,1000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,703.99
Dell,Latitude 7520 Laptop,15.60,Black,256.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1077.99
Dell,Latitude 7420 Laptop,14.00,,512.00,Core i7,,Windows 10 Home,,,,,,1327.99
Dell,Latitude 3520 Laptop,15.60,Black,4000.00,Core i5,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1218.46
Dell,Latitude 5420 Laptop,14.00,Black,512.00,Core i7,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1058.99
Dell,Alienware m15 Ryzen Edition R7 Laptop,15.60,Dark Side of the Moon,1000.00,AMD Ryzen 7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3070 Ti,,,,1679.99
Dell,XPS 9530 Laptop,15.60,Platinum Silver,1000.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,,2436.99
Dell,Latitude 5330 2-in-1,13.30,Black,512.00,Core i7,16.00,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1194.99
Dell,Latitude 7430 2-in-1,14.00,Black,512.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1621.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Latitude 3520 Laptop,15.60,Black,2000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,999.99
Dell,Latitude 7520 Laptop,15.60,Black,512.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1102.99
Dell,Latitude 5320 Laptop,13.30,Black,512.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,934.67
Dell,Inspiron 3511 Laptop,15.60,Black,2000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,754.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Latitude 5440 Laptop,14.00,Black,512.00,Core i5,32.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1314.99
HP,15-DY200,15.60,Natural Silver,1000.00,Core i5 Family,32.00,Windows 11 Pro,"Fingerprint Reader, HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,809.00
Dell,Vostro 3530 Laptop,15.60,Black,1000.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,776.99
Dell,Alienware x14 R2 Laptop,14.00,Silver,1000.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,,2103.99
Dell,Precision 7680 Laptop,16.00,Silver,2000.00,Core i7,64.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A1000,,,,2959.99
Dell,Latitude 7430 Laptop,14.00,Black,256.00,Core i7,16.00,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1316.99
Dell,Alienware m16 Ryzen Edition Laptop,16.00,Silver,512.00,AMD Ryzen 7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,3007.99
Lenovo,IdeaPad Slim 9 82D2,14.00,Shadow Black,2 TB,Core i7 Family,16.00,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard",Integrated,,,,1229.00
Lenovo,ThinkPad X13 Gen 2 AMD,13.30,,512.00,AMD Ryzen 7,16.00,Windows 11 Pro,Backlit Keyboard,"Integrated, Dedicated",AMD Radeon R7,,,799.99
Dell,Precision 7780 Laptop,17.00,Silver,512.00,Core i7,64.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2815.30
Dell,Vostro 7620 Laptop,16.00,Black,512.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3050,,,,1161.11
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Latitude 3540 Laptop,15.60,Black,256.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,822.99
Dell,Alienware m16 Laptop,16.00,Black,4000.00,Core i9,64.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,3946.44
Dell,Latitude 7440 2-in-1,14.00,Black,256.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2550.99
HP,15-DY200,15.60,Natural Silver,1000.00,Core i5 Family,16.00,Windows 10 Pro,"Fingerprint Reader, HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,729.00
Dell,Precision 3570 Laptop,15.60,Silver,512.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia Quadro T550,,,,981.99
Dell,XPS 9530 Laptop,15.60,Platinum Silver,4000.00,Core i9,64.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,3447.23
Dell,Precision 3580 Laptop,15.60,Silver,512.00,Core i7,64.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1799.09
Dell,Alienware m18 Laptop,18.00,Dark Metallic Moon,1000.00,Core i9,64.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2713.81
Dell,Inspiron 3511 Laptop,15.60,Black,256.00,Core i5,64.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,689.33
Dell,XPS 9530 Laptop,15.60,Platinum Silver,512.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2572.05
Dell,Latitude 5520 Laptop,15.60,Black,4000.00,Core i7,64.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2622.99
Dell,Precision 3480 Laptop,14.00,Silver,1000.00,Core i7,64.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1265.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Latitude 9420 2-in-1,14.00,Black,256.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,3415.99
Dell,Inspiron 3511 Laptop,15.60,Black,1000.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,731.83
Dell,Latitude 3520 Laptop,15.60,Black,1000.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,936.93
Dell,Latitude 5420 Laptop,14.00,Black,256.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1130.99
Dell,Vostro 3510 Laptop,15.60,Black,1000.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1046.99
Dell,Latitude 5530 Laptop,15.60,Black,512.00,Core i7,,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.80,,1173.01
Dell,Alienware X16 Laptop,16.00,Silver,2000.00,Core i9,32.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,3854.66
Dell,Latitude 5520 Laptop,15.60,Black,4000.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2102.99
Dell,Alienware X16 Laptop,16.00,Silver,1000.00,Core i9,32.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,3757.54
Dell,G16 7620 Laptop,16.00,Black,512.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,1210.99
Dell,Inspiron 3502 Laptop,15.60,Black,256.00,Celeron,12.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,853.82
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Latitude 5520 Laptop,15.60,Black,256.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,861.48
Dell,Latitude 3520 Laptop,15.60,,2000.00,Core i5,,Windows 11 Pro,,,,,,989.85
Dell,Latitude 5520 Laptop,15.60,Black,4000.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2053.99
Dell,Latitude 5420 Laptop,14.00,Black,1000.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1275.99
Dell,Latitude 3520 Laptop,15.60,Black,2000.00,Core i5,64.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1132.87
Dell,Latitude 5320 2-in-1,13.30,Black,256.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,821.99
Dell,Latitude 5520 Laptop,15.60,Black,256.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2354.99
Dell,Precision 7560 Laptop,15.60,Silver,2000.00,Core i7,64.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia T1200,,,,2388.99
Dell,G15 Gaming 5525,15.60,Phantom Grey,1000.00,AMD Ryzen 7,32.00,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,1259.00
Dell,G16 7620 Laptop,16.00,Black,1000.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3060,,,,1310.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Vostro 3520 Laptop,15.60,Black,512.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,943.69
Dell,Vostro 3510 Laptop,15.60,Black,1000.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,967.99
MSI,Thin GF63 12VE,15.60,Black,2 TB,Core i7 Family,48.00,Windows 11 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,1589.00
Dell,Latitude 3520 Laptop,15.60,Black,1000.00,Core i5,8.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,931.30
Acer,Acer Nitro 5 AN515,15.60,Obsidian Black,1000.00,Core i7 Family,32.00,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,1559.00
MSI,Raider GE76,17.30,Titanium Blue,1000.00,Core i7 Family,64.00,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,1849.00
Dell,Alienware X16 Laptop,16.00,Silver,2000.00,Core i9,32.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,3854.66
Dell,Latitude 5520 Laptop,15.60,Black,1000.00,Core i7,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1909.99
Dell,Inspiron 5410 Laptop,14.00,"Grey, Platinum Silver",128.00,Core i7,4.00,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,968.99
Dell,Precision 7770 Laptop,17.30,Silver,1000.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A3000,,,,2700.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,XPS 9510 Laptop,15.60,Platinum Silver,512.00,Core i7,64.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,3287.15
Lenovo,Lenovo ThinkBook 13s G4 IAP,13.30,Arctic Grey,512.00,Core i7 Family,16.00,Windows 10 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard",Integrated,,,,949.00
Lenovo,Yoga 7 82QG,16.00,Arctic Grey,512.00,Core i7 Family,16.00,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard, Memory Card Slot, Numeric Keypad",Integrated,,,,1199.99
Dell,XPS 9320 Laptop,13.40,Gray,1000.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1494.62
Dell,Precision 5770 Laptop,17.00,Silver,1000.00,Core i7,64.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A3000,,,,3415.99
Dell,Alienware m18 Laptop,18.00,Dark Metallic Moon,1000.00,Core i9,32.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,,2478.32
Dell,Latitude 5520 Laptop,15.60,Black,4000.00,Core i7,64.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,2629.99
Dell,Latitude 5520 Laptop,15.60,Black,512.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1715.99
Dell,Latitude 3520 Laptop,15.60,Black,1000.00,Core i7,64.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1830.99
Dell,Inspiron 3511 Laptop,15.60,Black,2000.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,743.09
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Latitude 5420 Laptop,14.00,Black,512.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,807.99
Dell,Latitude 3520 Laptop,15.60,Black,1000.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1661.99
Dell,Inspiron 3511 Laptop,15.60,Black,1000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,703.99
Dell,Vostro 3510 Laptop,15.60,Black,256.00,Core i5,4.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,691.99
Dell,XPS 9510 Laptop,15.60,Platinum Silver,8000.00,Core i9,32.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce GTX 1650 Ti,,,,4398.99
Dell,Latitude 3540 Laptop,15.60,Black,256.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,864.99
Dell,XPS 9320 Laptop,13.40,Gray,512.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1495.99
LENOVO,Legion Pro 5,16.00,Onyx grey,1000.00,Intel Core i9,48.00,Windows 11 Home,"High Definition Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,2459.00
Dell,Latitude 3520 Laptop,15.60,Black,2000.00,Core i5,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1032.65
Dell,Latitude 7420 2-in-1,14.00,Black,1000.00,Core i7,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,3869.99
Dell,Latitude 7320 Laptop,13.30,Black,256.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,899.99
Dell,Latitude 5420 Laptop,14.00,Black,1000.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,840.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Precision 7770 Laptop,17.30,Silver,1000.00,Core i9,16.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A1000,,,,2410.99
Lenovo,Yoga 7,15.60,Dark Moss,4 TB,Core i7 Family,12.00,Windows 10 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Numeric Keypad",Integrated,,,,1409.00
Dell,Inspiron 15 3525,15.60,Platinum Silver,2 TB,AMD Ryzen 7,64.00,Windows 10 Pro,"Fingerprint Reader, HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,1469.00
Dell,Precision 7780 Laptop,17.00,Silver,1000.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2815.30
Dell,Latitude 5440 Laptop,14.00,Black,512.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Dedicated,,,,1552.30
Dell,Latitude 3520 Laptop,15.60,Black,512.00,Core i5,32.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,953.82
Dell,Latitude 3520 Laptop,15.60,Black,4000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1185.79
Dell,Inspiron 3511 Laptop,15.60,Black,512.00,Core i5,64.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,776.54
Dell,XPS 9510 Laptop,15.60,Platinum Silver,512.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1666.65
Dell,Inspiron 3511 Laptop,15.60,Black,2000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,767.11
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Inspiron 3511 Laptop,15.60,Black,1000.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,690.58
Dell,Latitude 3520 Laptop,15.60,Black,4000.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1950.99
Dell,Inspiron 3511 Laptop,15.60,Black,1000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,619.99
acer,Nitro 17,17.30,Obsidian Black,4 TB,Ryzen 7,64.00,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,2049.00
Dell,Latitude 7420 Laptop,14.00,Black,2000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,886.99
Dell,Inspiron 3511 Laptop,15.60,Black,512.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,699.99
Dell,Latitude 3520 Laptop,15.60,Black,4000.00,Core i5,64.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1318.68
Dell,Latitude 7420 Laptop,14.00,,1000.00,Core i5,16.00,Windows 11 Home,,Integrated,,,,1267.99
Dell,XPS 9530 Laptop,15.60,Platinum Silver,4000.00,Core i7,32.00,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,3329.94
Dell,Inspiron 3501 Laptop,15.60,Black,128.00,Core i5,4.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,608.33
Dell,Latitude 9420 Laptop,14.00,Black,256.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,708.99
Dell,Latitude 5420 Laptop,14.00,Black,1000.00,Core i7,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1424.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Inspiron 3511 Laptop,15.60,Black,500.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,599.44
Dell,Inspiron 3511 Laptop,15.60,Black,4000.00,Core i5,32.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,955.99
Dell,Latitude 7420 Laptop,14.00,Black,1000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1155.99
Dell,Inspiron 3511 Laptop,15.60,Black,6000.00,Core i5,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1670.99
Dell,Latitude 5520 Laptop,15.60,Black,256.00,Core i7,16.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,2366.99
Dell,Latitude 3520 Laptop,15.60,Black,512.00,Core i5,32.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,953.82
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
